state,date,dates,confirmed
AN,2020-07-04,"{'delta': {'confirmed': 3, 'recovered': 12, 'tested': 206}, 'total': {'confirmed': 119, 'recovered': 66, 'tested': 16832}}",119.0
AN,2020-07-05,"{'delta': {'confirmed': 6, 'recovered': 6, 'tested': 77}, 'total': {'confirmed': 125, 'recovered': 72, 'tested': 16909}}",125.0
AN,2020-07-06,"{'delta': {'confirmed': 16, 'recovered': 2, 'tested': 186}, 'total': {'confirmed': 141, 'recovered': 74, 'tested': 17095}}",141.0
AN,2020-07-07,"{'delta': {'confirmed': 6, 'tested': 286}, 'total': {'confirmed': 147, 'recovered': 74, 'tested': 17381}}",147.0
AN,2020-07-08,"{'delta': {'confirmed': 2, 'tested': 262}, 'total': {'confirmed': 149, 'recovered': 74, 'tested': 17643}}",149.0
AN,2020-07-09,"{'delta': {'confirmed': 7, 'recovered': 9, 'tested': 209}, 'total': {'confirmed': 156, 'recovered': 83, 'tested': 17852}}",156.0
AN,2020-07-10,"{'delta': {'recovered': 9, 'tested': 194}, 'total': {'confirmed': 156, 'recovered': 92, 'tested': 18046}}",156.0
AN,2020-07-11,"{'delta': {'tested': 269}, 'total': {'confirmed': 156, 'recovered': 92, 'tested': 18315}}",156.0
AN,2020-07-12,"{'delta': {'confirmed': 7, 'recovered': 8, 'tested': 132}, 'total': {'confirmed': 163, 'recovered': 100, 'tested': 18447}}",163.0
AN,2020-07-13,"{'delta': {'confirmed': 3, 'recovered': 9, 'tested': 162}, 'total': {'confirmed': 166, 'recovered': 109, 'tested': 18609}}",166.0
AN,2020-07-14,"{'delta': {'confirmed': 5, 'recovered': 20, 'tested': 275}, 'total': {'confirmed': 171, 'recovered': 129, 'tested': 18884}}",171.0
AN,2020-07-15,"{'delta': {'confirmed': 5, 'recovered': 1, 'tested': 177}, 'total': {'confirmed': 176, 'recovered': 130, 'tested': 19061}}",176.0
AN,2020-07-16,"{'delta': {'confirmed': 4, 'recovered': 3, 'tested': 166}, 'total': {'confirmed': 180, 'recovered': 133, 'tested': 19227}}",180.0
AN,2020-07-17,"{'delta': {'confirmed': 4, 'recovered': 9, 'tested': 194}, 'total': {'confirmed': 184, 'recovered': 142, 'tested': 19421}}",184.0
AN,2020-07-18,"{'delta': {'confirmed': 4, 'recovered': 3, 'tested': 250}, 'total': {'confirmed': 188, 'recovered': 145, 'tested': 19671}}",188.0
AN,2020-07-19,"{'delta': {'confirmed': 15, 'other': 1, 'tested': 233}, 'total': {'confirmed': 203, 'other': 1, 'recovered': 145, 'tested': 19904}}",203.0
AN,2020-07-20,"{'delta': {'confirmed': 4, 'recovered': 6, 'tested': 397}, 'total': {'confirmed': 207, 'other': 1, 'recovered': 151, 'tested': 20301}}",207.0
AN,2020-07-21,"{'delta': {'confirmed': 5, 'recovered': 8, 'tested': 341}, 'total': {'confirmed': 212, 'other': 1, 'recovered': 159, 'tested': 20642}}",212.0
AN,2020-07-22,"{'delta': {'confirmed': 9, 'recovered': 4, 'tested': 401}, 'total': {'confirmed': 221, 'other': 1, 'recovered': 163, 'tested': 21043}}",221.0
AN,2020-07-23,"{'delta': {'confirmed': 19, 'recovered': 7, 'tested': 267}, 'total': {'confirmed': 240, 'other': 1, 'recovered': 170, 'tested': 21310}}",240.0
AN,2020-07-24,"{'delta': {'confirmed': 19, 'recovered': 4, 'tested': 433}, 'total': {'confirmed': 259, 'other': 1, 'recovered': 174, 'tested': 21743}}",259.0
AN,2020-07-25,"{'delta': {'confirmed': 31, 'recovered': 2, 'tested': 222}, 'total': {'confirmed': 290, 'other': 1, 'recovered': 176, 'tested': 21965}}",290.0
AN,2020-07-26,"{'delta': {'confirmed': 28, 'recovered': 4, 'tested': 84}, 'total': {'confirmed': 318, 'other': 1, 'recovered': 180, 'tested': 22049}}",318.0
AN,2020-07-27,"{'delta': {'confirmed': 20, 'deceased': 1, 'recovered': 12, 'tested': 499}, 'total': {'confirmed': 338, 'deceased': 1, 'other': 1, 'recovered': 192, 'tested': 22548}}",338.0
AN,2020-07-28,"{'delta': {'confirmed': 25, 'recovered': 4, 'tested': 377}, 'total': {'confirmed': 363, 'deceased': 1, 'other': 1, 'recovered': 196, 'tested': 22925}}",363.0
AN,2020-07-29,"{'delta': {'confirmed': 65, 'deceased': 1, 'recovered': 5, 'tested': 292}, 'total': {'confirmed': 428, 'deceased': 2, 'other': 1, 'recovered': 201, 'tested': 23217}}",428.0
AN,2020-07-30,"{'delta': {'confirmed': 42, 'deceased': 1, 'tested': 398}, 'total': {'confirmed': 470, 'deceased': 3, 'other': 1, 'recovered': 201, 'tested': 23615}}",470.0
AN,2020-07-31,"{'delta': {'confirmed': 78, 'deceased': 2, 'recovered': 13, 'tested': 423}, 'total': {'confirmed': 548, 'deceased': 5, 'other': 1, 'recovered': 214, 'tested': 24038}}",548.0
